treatment,covariate,method,n_obs,coef_log,se_log,z_or_t,p_value,ci_lo_log,ci_hi_log,coef_pct,ci_lo_pct,ci_hi_pct,r2_tau,r2_tau_oos
seller_N_total_value_high,log_price_1_sale,grf_blp_single,4206,0.0401735404684814,0.0186786738046917,2.15077049305238,0.031494319176217,0.00356333981128561,0.0767837411256771,4.09914126553304,0.356969605416624,7.9808532962768,0.740122212945672,0.767296703396088
seller_N_total_value_high,sold_after_30d,grf_blp_single,4206,-0.167407559954319,0.05537754221686,-3.02302256930701,0.00250263577911349,-0.275947542699365,-0.0588675772092739,-15.4145195468258,-24.1147262916667,-5.71683867157706,0.740122212945672,0.767296703396088
seller_N_total_value_high,log_buyern_total_value,grf_blp_single,4206,-0.0247048962826182,0.0113970803656299,-2.16765131858862,0.0301852260135248,-0.0470431737992529,-0.00236661876598355,-2.44022279188317,-4.59537930982165,-0.236382053167838,0.740122212945672,0.767296703396088
seller_N_total_value_high,log_buyern_rolling_avg_value_last10,grf_blp_single,4206,-0.00242128783880701,0.0252005819777661,-0.096080631826013,0.923456533695704,-0.0518144285152286,0.0469718528376146,-0.241835888583086,-5.04949484428301,4.80925078344565,0.740122212945672,0.767296703396088
seller_N_total_value_high,log_sellern_rolling_avg_value_last10,grf_blp_single,4206,0.0285456835774883,0.0253307721120666,1.1269172313895,0.259777477191505,-0.0211026297621622,0.0781939969171387,2.89570161984107,-2.08815272831632,8.13324134781492,0.740122212945672,0.767296703396088
seller_N_total_value_high,log_sellern_1_total_value,grf_blp_single,4206,0.00906081952005107,0.0130215728015323,0.69583142206791,0.486534408533605,-0.0164614631709523,0.0345831022110545,0.910199300646175,-1.63267136904652,3.51880512176339,0.740122212945672,0.767296703396088
seller_N_total_value_high,log_sellern_1_rolling_avg_value_last10,grf_blp_single,4206,0.0364257440401942,0.0257608620039025,1.4139955423338,0.157363211319575,-0.0140655454874547,0.086917033567843,3.70972905037106,-1.39670878631595,9.08061756673606,0.740122212945672,0.767296703396088
seller_N_total_value_high,log_unique_makers_count,grf_blp_single,4206,0.092104808299605,0.0235256876274211,3.91507401434036,9.03764792357514e-05,0.0459944605498597,0.13821515604935,9.64797362354395,4.70686107565095,14.8222570731346,0.740122212945672,0.767296703396088
seller_N_total_value_high,log_median_offer_price,grf_blp_single,4206,0.0557394776037078,0.0142462074146976,3.91258360777495,9.13139081223888e-05,0.0278169110709005,0.0836620441365152,5.73221917412068,2.82074137925337,8.7261385351185,0.740122212945672,0.767296703396088
seller_N_total_value_high,log_buyern_avg_total_gaspaid,grf_blp_single,4206,-0.0243475386748696,0.0154101911304414,-1.57996344553919,0.114115238039726,-0.0545515132905347,0.00585643594079547,-2.40535283313615,-5.30902708345541,0.587361838801725,0.740122212945672,0.767296703396088
seller_N_total_value_high,log_sellern_avg_total_gaspaid,grf_blp_single,4206,-0.0574445719389914,0.0152300546700784,-3.77179026493249,0.000162080468158384,-0.0872954790923451,-0.0275936647856377,-5.58257773175125,-8.35937232704066,-2.72164372777134,0.740122212945672,0.767296703396088
seller_N_total_value_high,log_sellern_1_avg_total_gaspaid,grf_blp_single,4206,-0.0158923748656645,0.0133549214121455,-1.19000137666189,0.234045850962098,-0.0420680208334697,0.0102832711021407,-1.57667574098295,-4.11954403309636,1.03363256365261,0.740122212945672,0.767296703396088
seller_N_total_value_high,log_buyern_avg_gasLimit_cost,grf_blp_single,4206,-3.47691585084371,2.93484003369596,-1.18470370136838,0.236134618508017,-9.22920231688779,2.27537061520038,-96.9097427646082,-99.990186851716,873.152499538874,0.740122212945672,0.767296703396088
seller_N_total_value_high,log_sellern_avg_gasLimit_cost,grf_blp_single,4206,-8.33497835953517,3.01031337826765,-2.76880753336442,0.00562618602212308,-14.2351925809398,-2.43476413813058,-99.9760025612613,-99.9999342744221,-91.2381589546808,0.740122212945672,0.767296703396088
seller_N_total_value_high,log_sellern_1_avg_gasLimit_cost,grf_blp_single,4206,0.193211574838416,2.77247703177735,0.069689152560645,0.944441075793245,-5.24084340744519,5.62726655712202,21.313943614878,-99.4704211555604,27690.1450745599,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2021-06`,grf_blp_single,4206,0.125092005653391,0.0424085928897404,2.94968536161109,0.0031809769415182,0.0419711635895002,0.208212847717283,13.3252713926861,4.28644058510654,23.1475258353007,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2021-07`,grf_blp_single,4206,0.108043338299507,0.0609820906363118,1.77172243804926,0.0764406431084504,-0.0114815593476641,0.227568235946678,11.4096027367544,-1.141589778444,25.5543110003907,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2021-08`,grf_blp_single,4206,-0.102444678929094,0.0832991465996966,-1.22984067797721,0.218756772148445,-0.265711006264499,0.0608216484063114,-9.73719172760937,-23.3339344383914,6.27093613759455,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2021-09`,grf_blp_single,4206,-0.322300779971198,0.166858388583522,-1.93158271937804,0.0534110304434694,-0.649343221594902,0.00474166165250589,-27.5519751592986,-47.7611242227403,0.475292111927916,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2021-10`,grf_blp_single,4206,-0.0486475801773671,0.214947858128209,-0.226322702635866,0.820950442291293,-0.469945382108657,0.372650221753923,-4.74832436593853,-37.4963594479078,45.1576521136377,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2021-11`,grf_blp_single,4206,0.0294649394037381,0.149444679998109,0.197162852529184,0.843700099375477,-0.263446633392555,0.322376512200031,2.99033258141872,-23.1601371826999,38.0404417229532,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2021-12`,grf_blp_single,4206,-0.443658212318104,0.215037687066717,-2.06316491946109,0.039096961888973,-0.86513207896887,-0.0221843456673379,-35.8315296721593,-57.9004055755161,-2.19400826768307,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2022-01`,grf_blp_single,4206,-0.41846599149697,0.171859951550617,-2.43492441212356,0.0148949008252041,-0.75531149653618,-0.0816204864577598,-34.1944491305601,-53.0135769147699,-7.83783397652024,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2022-02`,grf_blp_single,4206,-0.147185251250662,0.230069178619106,-0.639743455138493,0.522339399183882,-0.59812084134411,0.303750338842786,-13.6865934060328,-45.0156090170259,35.4930740282708,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2022-03`,grf_blp_single,4206,-0.295611947564935,0.14490428264474,-2.04004976367526,0.0413453695129312,-0.579624341548626,-0.0115995535812443,-25.5923887448461,-43.9891263370115,-1.15325381263313,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2022-04`,grf_blp_single,4206,-0.088939351542361,0.191810442506795,-0.46368357415791,0.642874467257961,-0.464887818855679,0.287009115770957,-8.50989407699901,-37.1794425942906,33.2436359604984,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2022-05`,grf_blp_single,4206,0.23108044834934,0.181216995214829,1.27515881209374,0.20225303637942,-0.124104862271726,0.586265758970406,25.996059712242,-11.6712787477466,79.7264450107257,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2022-06`,grf_blp_single,4206,-0.0514056508982295,0.236829465080677,-0.217057665863991,0.828163405163562,-0.515591402456357,0.412780100659898,-5.01067326889765,-40.2852664231723,51.1012718698535,0.740122212945672,0.767296703396088
seller_N_total_value_high,`time_n_sale_str_2022-07`,grf_blp_single,4206,-0.274128037346142,0.25351201579535,-1.08132167418618,0.279554049436455,-0.771011588305029,0.222755513612744,-23.9765269408212,-53.7455073470454,24.9515046969282,0.740122212945672,0.767296703396088
