feature,importance,rank,treatment,k
Clothes_Bandolier,0,1,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Bayc.T.Black,0,2,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Bayc.T.Red,0,3,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Biker.Vest,0,4,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Black.Holes.T,0,5,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Black.T,0,6,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Bone.Necklace,0,7,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Bone.Tee,0,8,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Caveman.Pelt,0,9,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Cowboy.Shirt,0,10,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Guayabera,0,11,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Hawaiian,0,12,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Hip.Hop,0,13,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Lab.Coat,0,14,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Leather.Jacket,0,15,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Leather.Punk.Jacket,0,16,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Lumberjack.Shirt,0,17,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Navy.Striped.Tee,0,18,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_No,0,19,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Other,0,20,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Prison.Jumpsuit,0,21,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Prom.Dress,0,22,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Puffy.Vest,0,23,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Rainbow.Suspenders,0,24,Background_Aquamarine+Earring_No+Mouth_Bored,3
Clothes_Sailor.Shirt,0,25,Background_Aquamarine+Earring_No+Mouth_Bored,3
