treatment,covariate,method,n_obs,coef_log,se_log,z_or_t,p_value,ci_lo_log,ci_hi_log,coef_pct,ci_lo_pct,ci_hi_pct,r2_tau,r2_tau_oos
seller_N_total_value_high,log_price_1_sale,grf_blp_single,3196,0.0958089060484438,0.0261038384003593,3.67029953905649,0.000242266401855792,0.0446453827837397,0.146972429313148,10.0548735691602,4.56569861838958,15.832202685573,0.641022659276255,0.652532288136117
seller_N_total_value_high,sold_after_30d,grf_blp_single,3196,-0.0394879367293772,0.0495062230998024,-0.797635817415746,0.425081859505828,-0.13652013400499,0.0575442605462355,-3.87184498798617,-12.7611244596757,5.92321518108612,0.641022659276255,0.652532288136117
seller_N_total_value_high,log_buyern_total_value,grf_blp_single,3196,-0.0210117187270659,0.0183090979539533,-1.1476108096592,0.251129265324677,-0.0568975507168144,0.0148741132626826,-2.07925105630868,-5.53091526908379,1.4985283387156,0.641022659276255,0.652532288136117
seller_N_total_value_high,log_buyern_rolling_avg_value_last10,grf_blp_single,3196,-0.0785397284371111,0.0314400510021112,-2.49807891316198,0.0124868393676889,-0.140162228401249,-0.0169172284729733,-7.55346683608102,-13.0782787758546,-1.67749356931131,0.641022659276255,0.652532288136117
seller_N_total_value_high,log_sellern_rolling_avg_value_last10,grf_blp_single,3196,0.0185542302532354,0.0427280905114701,0.434239630911067,0.664114437014367,-0.0651928271492459,0.102301287655717,1.87274295180846,-6.31132112501642,10.7717162964111,0.641022659276255,0.652532288136117
seller_N_total_value_high,log_buyern_1_total_value,grf_blp_single,3196,0.0335736230597397,0.0185513371673103,1.80976836100529,0.0703317162978765,-0.00278699778818847,0.0699342439076678,3.41435777380379,-0.278311771527462,7.24376596258616,0.641022659276255,0.652532288136117
seller_N_total_value_high,log_buyern_1_rolling_avg_value_last10,grf_blp_single,3196,0.0366266590039258,0.0407100238493136,0.899696328832866,0.368281877613463,-0.0431649877407288,0.11641830574858,3.73056798017815,-4.22466405321206,12.3465726026641,0.641022659276255,0.652532288136117
seller_N_total_value_high,log_sellern_1_total_value,grf_blp_single,3196,-0.00400259273149273,0.0223053492800727,-0.179445418282178,0.857587971475938,-0.0477210773204352,0.0397158918574498,-0.399459303394178,-4.66003252132875,4.05151133783972,0.641022659276255,0.652532288136117
seller_N_total_value_high,log_sellern_1_rolling_avg_value_last10,grf_blp_single,3196,0.0574918371382563,0.043537933710216,1.32049990063644,0.186668169182286,-0.027842512933767,0.14282618721028,5.91766247070948,-2.74584825483197,15.3529286097189,0.641022659276255,0.652532288136117
seller_N_total_value_high,log_unique_makers_count,grf_blp_single,3196,0.0548805203376083,0.036936502096195,1.48580718863635,0.137330128169147,-0.0175150237709339,0.12727606444615,5.64143871005138,-1.73625273661246,13.5730509321593,0.641022659276255,0.652532288136117
