treatment,covariate,type,n,cor,slope_catepct_per_unit,n0,n1,mean0,mean1,diff1minus0
seller_N_total_value_high,log_price_1_sale,numeric,4206,0.218534874630724,0.707417951800935,,,,,
seller_N_total_value_high,sold_after_30d,binary,4206,,,2652,1554,-12.6804046998961,-16.4840098009071,-3.803605101011
seller_N_total_value_high,log_buyern_total_value,numeric,4206,-0.209039643722819,-0.406556112884293,,,,,
seller_N_total_value_high,log_buyern_rolling_avg_value_last10,numeric,4206,0.0903012361097645,0.344111535017332,,,,,
seller_N_total_value_high,log_sellern_rolling_avg_value_last10,numeric,4206,0.277125955809415,1.22516481951094,,,,,
seller_N_total_value_high,log_sellern_1_total_value,numeric,4206,0.00896215026770208,0.0187658735565152,,,,,
seller_N_total_value_high,log_sellern_1_rolling_avg_value_last10,numeric,4206,0.292462304068918,1.4007277246762,,,,,
seller_N_total_value_high,log_unique_makers_count,numeric,4206,0.406166726718342,3.03613965523439,,,,,
seller_N_total_value_high,log_median_offer_price,numeric,4206,0.316923140838838,1.63751495222452,,,,,
seller_N_total_value_high,log_buyern_avg_total_gaspaid,numeric,4206,-0.202804332967822,-0.515635221613845,,,,,
seller_N_total_value_high,log_sellern_avg_total_gaspaid,numeric,4206,-0.52114499051333,-1.41912176420349,,,,,
seller_N_total_value_high,log_sellern_1_avg_total_gaspaid,numeric,4206,-0.159143603246583,-0.378230365604139,,,,,
seller_N_total_value_high,log_buyern_avg_gasLimit_cost,numeric,4206,-0.273293242421772,-123.16944972607,,,,,
seller_N_total_value_high,log_sellern_avg_gasLimit_cost,numeric,4206,-0.543125175678253,-263.9110951892,,,,,
seller_N_total_value_high,log_sellern_1_avg_gasLimit_cost,numeric,4206,-0.156148590205263,-70.0971295992913,,,,,
seller_N_total_value_high,`time_n_sale_str_2021-06`,binary,4206,,,3756,450,-14.015671044536,-14.6704978921264,-0.654826847590465
seller_N_total_value_high,`time_n_sale_str_2021-07`,binary,4206,,,3950,256,-14.0333840619388,-14.8934275393581,-0.860043477419222
seller_N_total_value_high,`time_n_sale_str_2021-08`,binary,4206,,,3906,300,-13.9807475907476,-15.4526146842461,-1.47186709349845
seller_N_total_value_high,`time_n_sale_str_2021-09`,binary,4206,,,4096,110,-14.0456741831416,-15.5773003689654,-1.53162618582387
seller_N_total_value_high,`time_n_sale_str_2021-10`,binary,4206,,,4138,68,-14.047499128409,-16.412251490849,-2.36475236244002
seller_N_total_value_high,`time_n_sale_str_2021-11`,binary,4206,,,4056,150,-13.9850892900739,-16.8070822279611,-2.82199293788712
seller_N_total_value_high,`time_n_sale_str_2021-12`,binary,4206,,,4101,105,-14.0288158555287,-16.3086730591523,-2.27985720362363
seller_N_total_value_high,`time_n_sale_str_2022-01`,binary,4206,,,4063,143,-14.0137691524666,-16.1303526451918,-2.11658349272519
seller_N_total_value_high,`time_n_sale_str_2022-02`,binary,4206,,,4137,69,-14.0643693017942,-15.3665028001638,-1.30213349836956
seller_N_total_value_high,`time_n_sale_str_2022-03`,binary,4206,,,4089,117,-14.0494179277716,-15.3548255391108,-1.30540761133923
seller_N_total_value_high,`time_n_sale_str_2022-04`,binary,4206,,,4122,84,-14.066003485551,-15.0537872296762,-0.987783744125238
