bin,n,mean_cate_pct,sd_cate_pct,treatment,covariate
"(1.61,4]",806,-12.9397039914147,3.43475371127663,seller_N_total_value_high,log_price_1_sale
"(0.405,0.765]",824,-13.7982116032968,3.26846464273438,seller_N_total_value_high,log_price_1_sale
"(0.765,1.61]",872,-13.3852732716361,3.31483060053612,seller_N_total_value_high,log_price_1_sale
"[0.14,0.262]",912,-15.3911086340759,3.32213440728399,seller_N_total_value_high,log_price_1_sale
"(0.262,0.405]",792,-14.8192011987291,3.31703134498797,seller_N_total_value_high,log_price_1_sale
"(5.24,6.21]",841,-14.1200597474733,3.14022311205903,seller_N_total_value_high,log_buyern_total_value
"(7.22,8.44]",857,-14.349369878993,3.54786982853032,seller_N_total_value_high,log_buyern_total_value
"(8.44,10.1]",825,-15.0053017387192,3.46575289676515,seller_N_total_value_high,log_buyern_total_value
"(6.21,7.22]",841,-14.4073751668146,3.40379532137054,seller_N_total_value_high,log_buyern_total_value
"[3.86,5.24]",842,-12.5608406307334,3.20914493392396,seller_N_total_value_high,log_buyern_total_value
"(0.113,0.501]",841,-14.5248002409317,3.2671825337357,seller_N_total_value_high,log_buyern_rolling_avg_value_last10
"(1.39,3.05]",841,-13.5327012956754,3.70750773941493,seller_N_total_value_high,log_buyern_rolling_avg_value_last10
"(0.501,1.39]",841,-13.6242506743056,3.59713066308555,seller_N_total_value_high,log_buyern_rolling_avg_value_last10
"(0.00722,0.113]",833,-14.3235466653901,3.16415090926151,seller_N_total_value_high,log_buyern_rolling_avg_value_last10
"[0,0.00722]",850,-14.4220194271607,3.37982312164714,seller_N_total_value_high,log_buyern_rolling_avg_value_last10
"(1.34,2.51]",840,-12.4466358931008,3.46547704315323,seller_N_total_value_high,log_sellern_rolling_avg_value_last10
"[0,0.0184]",842,-15.1048515743253,3.16164781041067,seller_N_total_value_high,log_sellern_rolling_avg_value_last10
"(0.0184,0.131]",842,-15.0392615523991,3.10628991700307,seller_N_total_value_high,log_sellern_rolling_avg_value_last10
"(0.131,0.482]",841,-14.4149776409423,3.46318066778514,seller_N_total_value_high,log_sellern_rolling_avg_value_last10
"(0.482,1.34]",841,-13.4186336454162,3.29454430293308,seller_N_total_value_high,log_sellern_rolling_avg_value_last10
"(7.68,8.64]",843,-13.7440623082896,3.37417090368283,seller_N_total_value_high,log_sellern_1_total_value
"(5.7,6.69]",841,-14.4720271162238,3.48508901035522,seller_N_total_value_high,log_sellern_1_total_value
"(6.69,7.68]",841,-14.549691082436,3.52842526720084,seller_N_total_value_high,log_sellern_1_total_value
"[4.29,5.7]",842,-13.7807838353732,3.55002275565924,seller_N_total_value_high,log_sellern_1_total_value
"(8.64,10.2]",839,-13.8827830445636,3.23845800449076,seller_N_total_value_high,log_sellern_1_total_value
"(0.00755,0.0925]",841,-15.1716384431049,3.25524947591124,seller_N_total_value_high,log_sellern_1_rolling_avg_value_last10
"(0.382,1.1]",843,-13.0714143194899,3.29732134683873,seller_N_total_value_high,log_sellern_1_rolling_avg_value_last10
"[0,0.00755]",842,-15.1814757615164,3.11837699597481,seller_N_total_value_high,log_sellern_1_rolling_avg_value_last10
"(1.1,2.32]",839,-12.5158577907379,3.38819057627763,seller_N_total_value_high,log_sellern_1_rolling_avg_value_last10
"(0.0925,0.382]",841,-14.4856444888549,3.31405529859511,seller_N_total_value_high,log_sellern_1_rolling_avg_value_last10
"[0.0444,0.404]",842,-12.6922301161443,3.47905404282549,seller_N_total_value_high,log_buyern_avg_total_gaspaid
"(1.09,1.86]",841,-13.9370103709712,3.40401805620692,seller_N_total_value_high,log_buyern_avg_total_gaspaid
"(2.91,4.8]",841,-15.087407070413,3.266915450056,seller_N_total_value_high,log_buyern_avg_total_gaspaid
"(1.86,2.91]",841,-14.6760704614138,3.25229990359629,seller_N_total_value_high,log_buyern_avg_total_gaspaid
"(0.404,1.09]",841,-14.0375938295927,3.37999149827685,seller_N_total_value_high,log_buyern_avg_total_gaspaid
"(3.38,4.74]",837,-15.8037252982284,2.2361412583272,seller_N_total_value_high,log_sellern_avg_total_gaspaid
"(1.71,2.47]",846,-15.3319285074562,2.94829188580112,seller_N_total_value_high,log_sellern_avg_total_gaspaid
"[0.221,0.984]",847,-10.4690081417708,2.58698174306813,seller_N_total_value_high,log_sellern_avg_total_gaspaid
"(2.47,3.38]",840,-15.7479481049547,2.65671392876795,seller_N_total_value_high,log_sellern_avg_total_gaspaid
"(0.984,1.71]",836,-13.0987184193386,3.29104922386181,seller_N_total_value_high,log_sellern_avg_total_gaspaid
"(3.71,5.06]",840,-14.2396576136017,3.11520314921639,seller_N_total_value_high,log_sellern_1_avg_total_gaspaid
"(1.8,2.77]",842,-14.7232456475656,3.47336570207178,seller_N_total_value_high,log_sellern_1_avg_total_gaspaid
"(0.917,1.8]",832,-13.6861377071728,3.43448380041074,seller_N_total_value_high,log_sellern_1_avg_total_gaspaid
"[0.149,0.917]",851,-12.6245392081792,3.53620925229023,seller_N_total_value_high,log_sellern_1_avg_total_gaspaid
"(2.77,3.71]",841,-15.1675978900477,3.11221428953329,seller_N_total_value_high,log_sellern_1_avg_total_gaspaid
"(0.00469,0.00827]",842,-13.8281532894774,3.4174955533875,seller_N_total_value_high,log_buyern_avg_gasLimit_cost
"(0.00827,0.0119]",840,-14.1374586788157,3.09209970117849,seller_N_total_value_high,log_buyern_avg_gasLimit_cost
"(0.0119,0.0182]",841,-14.8902199733083,3.13176503794973,seller_N_total_value_high,log_buyern_avg_gasLimit_cost
"[0.00188,0.00469]",842,-12.3218137005758,3.58924559179072,seller_N_total_value_high,log_buyern_avg_gasLimit_cost
"(0.0182,0.0298]",841,-15.2534744368036,3.24875853916368,seller_N_total_value_high,log_buyern_avg_gasLimit_cost
"(0.0171,0.028]",841,-15.8261181855945,2.28041807103922,seller_N_total_value_high,log_sellern_avg_gasLimit_cost
"(0.0121,0.0171]",841,-15.84193489665,2.43758919490568,seller_N_total_value_high,log_sellern_avg_gasLimit_cost
"(0.00462,0.00856]",844,-13.3447885150616,2.99322286669423,seller_N_total_value_high,log_sellern_avg_gasLimit_cost
"(0.00856,0.0121]",838,-15.6563033027436,2.65226513589439,seller_N_total_value_high,log_sellern_avg_gasLimit_cost
"[0.00186,0.00462]",842,-9.77288382203722,2.18587345730725,seller_N_total_value_high,log_sellern_avg_gasLimit_cost
"(0.0133,0.0192]",841,-14.7460932573962,3.15553076104712,seller_N_total_value_high,log_sellern_1_avg_gasLimit_cost
"(0.00911,0.0133]",840,-14.7248930516535,3.24222483763913,seller_N_total_value_high,log_sellern_1_avg_gasLimit_cost
"[0.00211,0.00478]",842,-12.9350801683766,3.78600085598639,seller_N_total_value_high,log_sellern_1_avg_gasLimit_cost
"(0.0192,0.0295]",841,-14.3656832022697,3.1034454026205,seller_N_total_value_high,log_sellern_1_avg_gasLimit_cost
"(0.00478,0.00911]",842,-13.6595401745761,3.58012608273762,seller_N_total_value_high,log_sellern_1_avg_gasLimit_cost
"(-0.00464,0]",1041,-14.9023365881963,3.14256917238102,seller_N_total_value_high,`log_price_change_n-1`
"(0.655,4.4]",841,-14.6250681904754,3.23447016776792,seller_N_total_value_high,`log_price_change_n-1`
"(0,0.0881]",641,-13.7465612535421,3.47395291749273,seller_N_total_value_high,`log_price_change_n-1`
"(0.0881,0.655]",841,-14.7181552957571,3.31921156632405,seller_N_total_value_high,`log_price_change_n-1`
"[-4.27,-0.00464]",842,-12.1639612719475,3.38850554283451,seller_N_total_value_high,`log_price_change_n-1`
"(1.61,4]",806,-19.9227366178103,6.74240430624077,seller_N_1_total_value_high,log_price_1_sale
"(0.405,0.765]",824,-19.9116756266673,6.62461932251898,seller_N_1_total_value_high,log_price_1_sale
"(0.765,1.61]",872,-19.7036114659623,6.43270446787853,seller_N_1_total_value_high,log_price_1_sale
"[0.14,0.262]",912,-18.8679631689324,6.11410613165233,seller_N_1_total_value_high,log_price_1_sale
"(0.262,0.405]",792,-19.6937314662018,6.52982029645224,seller_N_1_total_value_high,log_price_1_sale
"(5.24,6.21]",841,-18.8267470566468,6.31988605776902,seller_N_1_total_value_high,log_buyern_total_value
"(7.22,8.44]",857,-20.7215372741468,6.59977084413258,seller_N_1_total_value_high,log_buyern_total_value
"(8.44,10.1]",825,-21.4588927108478,6.45143402790098,seller_N_1_total_value_high,log_buyern_total_value
"(6.21,7.22]",841,-19.7039866449782,6.5883936593525,seller_N_1_total_value_high,log_buyern_total_value
"[3.86,5.24]",842,-17.3221168485586,5.64548488406914,seller_N_1_total_value_high,log_buyern_total_value
"(0.113,0.501]",841,-19.6993410465053,6.4156347885087,seller_N_1_total_value_high,log_buyern_rolling_avg_value_last10
"(1.39,3.05]",841,-20.410593643343,7.08331260541389,seller_N_1_total_value_high,log_buyern_rolling_avg_value_last10
"(0.501,1.39]",841,-19.5781095016974,6.45624960905657,seller_N_1_total_value_high,log_buyern_rolling_avg_value_last10
"(0.00722,0.113]",833,-18.8828904077086,6.03259806227859,seller_N_1_total_value_high,log_buyern_rolling_avg_value_last10
"[0,0.00722]",850,-19.4404946885118,6.34523803930854,seller_N_1_total_value_high,log_buyern_rolling_avg_value_last10
"(7.93,8.98]",842,-18.7215133928785,6.35204749167674,seller_N_1_total_value_high,log_sellern_total_value
"(7.07,7.93]",840,-19.8583977681831,6.49825212913094,seller_N_1_total_value_high,log_sellern_total_value
"(6.11,7.07]",842,-21.1077928003077,6.65378694688575,seller_N_1_total_value_high,log_sellern_total_value
"[4.65,6.11]",842,-20.6128298440068,6.49983680304038,seller_N_1_total_value_high,log_sellern_total_value
"(8.98,10.5]",840,-17.7121198706618,5.83879658480662,seller_N_1_total_value_high,log_sellern_total_value
"(1.34,2.51]",840,-18.9221014691763,6.52910936272805,seller_N_1_total_value_high,log_sellern_rolling_avg_value_last10
"[0,0.0184]",842,-19.9164174268696,6.34209132858504,seller_N_1_total_value_high,log_sellern_rolling_avg_value_last10
"(0.0184,0.131]",842,-19.4399948604504,6.30751408470089,seller_N_1_total_value_high,log_sellern_rolling_avg_value_last10
"(0.131,0.482]",841,-20.1804189145518,6.60336788951367,seller_N_1_total_value_high,log_sellern_rolling_avg_value_last10
"(0.482,1.34]",841,-19.5566191115061,6.61437820092884,seller_N_1_total_value_high,log_sellern_rolling_avg_value_last10
"(0.00755,0.0925]",841,-21.014482248605,6.57467118169626,seller_N_1_total_value_high,log_sellern_1_rolling_avg_value_last10
"(0.382,1.1]",843,-17.9888660736807,5.95434820494823,seller_N_1_total_value_high,log_sellern_1_rolling_avg_value_last10
"[0,0.00755]",842,-21.462727994591,6.40408355322592,seller_N_1_total_value_high,log_sellern_1_rolling_avg_value_last10
"(1.1,2.32]",839,-17.4832063189156,6.05849438317294,seller_N_1_total_value_high,log_sellern_1_rolling_avg_value_last10
"(0.0925,0.382]",841,-20.0638437761485,6.46055013789025,seller_N_1_total_value_high,log_sellern_1_rolling_avg_value_last10
"[0.0444,0.404]",842,-18.9783821809042,6.58247599959018,seller_N_1_total_value_high,log_buyern_avg_total_gaspaid
"(1.09,1.86]",841,-19.672106896542,6.55810132634682,seller_N_1_total_value_high,log_buyern_avg_total_gaspaid
"(2.91,4.8]",841,-20.0691475607508,6.11462643675959,seller_N_1_total_value_high,log_buyern_avg_total_gaspaid
"(1.86,2.91]",841,-19.7174731102796,6.56033881868391,seller_N_1_total_value_high,log_buyern_avg_total_gaspaid
"(0.404,1.09]",841,-19.5801732215179,6.59672302760628,seller_N_1_total_value_high,log_buyern_avg_total_gaspaid
"(3.38,4.74]",837,-19.3848354914286,6.04756865382264,seller_N_1_total_value_high,log_sellern_avg_total_gaspaid
"(1.71,2.47]",846,-20.0821527044497,6.79284918285431,seller_N_1_total_value_high,log_sellern_avg_total_gaspaid
"[0.221,0.984]",847,-19.3715140689787,6.26464494901596,seller_N_1_total_value_high,log_sellern_avg_total_gaspaid
"(2.47,3.38]",840,-20.0956155364231,6.55820577992165,seller_N_1_total_value_high,log_sellern_avg_total_gaspaid
"(0.984,1.71]",836,-19.0776499983679,6.71391844312707,seller_N_1_total_value_high,log_sellern_avg_total_gaspaid
"(3.71,5.06]",840,-19.2650283078345,6.26414867102572,seller_N_1_total_value_high,log_sellern_1_avg_total_gaspaid
