treatment,model,n_used,treated_share,overlap_alpha,target_primary,ATE_log,SE_log,CI95_lo_log,CI95_hi_log,z_or_t,p_value,ATE_pp,CI95_lo_pp,CI95_hi_pp,ATE_pct,CI95_lo_pct,CI95_hi_pct,top_importances,calib_intercept,calib_slope,calib_p_slope,AIPW_log,AIPW_se_log
seller_N_total_value_high,GRF,3196,0.429599499374218,0.05,overlap,-0.139248612135863,0.04857288352069,-0.234451463836416,-0.0440457604353108,-2.86679731658404,0.00414648474160592,-13.9248612135863,-23.4451463836416,-4.40457604353108,-12.9988293899296,-20.8995374710426,-4.30898321546958,"log_price_1_sale:0.0839, log_buyern_rolling_avg_value_last10:0.0767, log_sellern_1_rolling_avg_value_last10:0.0581, log_sellern_avg_gasLimit_cost:0.0566, `log_price_change_n-1`:0.0555, log_sellern_1_avg_total_gaspaid:0.0549, log_buyern_avg_gasLimit_cost:0.0542, log_buyern_1_avg_gasLimit_cost:0.0527",,,,-0.230736874113572,0.0339822515808863
seller_N_total_value_high,PDS,3196,0.429599499374218,0.05,,0.0689498118471963,0.0261087679880111,0.0177775669099824,0.12012205678441,2.6408680746199,0.0082693912841512,6.89498118471963,1.77775669099824,12.012205678441,7.13824370935334,1.79365284385062,12.7634478618498,,,,,,
seller_N_1_total_value_high,GRF,3166,0.424194567277322,0.05,overlap,-0.55530171650544,0.0467415868386216,-0.646915226709139,-0.463688206301742,-11.880249560689,1.49919105201373e-32,-55.5301716505441,-64.6915226709139,-46.3688206301742,-42.6100919752993,-47.6341343965763,-37.1040370453026,"log_sellern_1_rolling_avg_value_last10:0.1131, log_price_1_sale:0.1090, log_sellern_1_avg_total_gaspaid:0.0868, `log_price_change_n-1`:0.0758, sold_after_30d:0.0680, log_buyern_1_rolling_avg_value_last10:0.0516, log_buyern_1_total_value:0.0473, log_sellern_total_value:0.0407",,,,-0.597792167053799,0.0339183375478307
seller_N_1_total_value_high,PDS,3166,0.424194567277322,0.05,,-0.12923796693292,0.0232457954751759,-0.174798888856249,-0.0836770450095909,-5.55962763549789,2.70350826119142e-08,-12.923796693292,-17.4798888856249,-8.36770450095909,-12.1235176307704,-16.0374138091868,-8.02717610389133,,,,,,
buyer_N_total_value_high,GRF,3646,0.501097092704334,0.05,overlap,0.0425765415353446,0.0426463900110372,-0.0410103828862883,0.126163465956978,0.998362147987801,0.318103781439514,4.25765415353446,-4.10103828862883,12.6163465956978,4.34959240971964,-4.01808357971769,13.4467599958616,"log_buyern_rolling_avg_value_last10:0.0791, log_price_1_sale:0.0770, log_sellern_1_total_value:0.0632, log_sellern_1_rolling_avg_value_last10:0.0610, log_buyern_1_avg_gasLimit_cost:0.0581, `log_price_change_n-1`:0.0552, log_sellern_1_avg_gasLimit_cost:0.0528, log_buyern_avg_gasLimit_cost:0.0506",,,,-0.0115516067382925,0.0293154368171922
buyer_N_total_value_high,PDS,3646,0.501097092704334,0.05,,0.0375853677661043,0.0208685631179748,-0.00331626435422711,0.0784869998864357,1.80105202038231,0.0716946810858952,3.75853677661043,-0.331626435422711,7.84869998864357,3.8300630703932,-0.331077162305404,8.16492935072231,,,,,,
buyer_N_1_total_value_high,GRF,3638,0.49890049477735,0.05,overlap,-0.453723311592483,0.0423362183919155,-0.536702299640638,-0.370744323544329,-10.7171431182698,8.45754209981242e-27,-45.3723311592483,-53.6702299640638,-37.0744323544329,-36.4741522411879,-41.532684637538,-30.9779607895812,"log_buyern_1_avg_gasLimit_cost:0.1115, log_price_1_sale:0.0780, log_sellern_avg_total_gaspaid:0.0723, log_buyern_1_avg_total_gaspaid:0.0664, log_sellern_1_rolling_avg_value_last10:0.0640, log_sellern_avg_gasLimit_cost:0.0561, sold_after_30d:0.0520, log_buyern_1_rolling_avg_value_last10:0.0507",,,,-0.55696784359674,0.0296368997795708
buyer_N_1_total_value_high,PDS,3638,0.49890049477735,0.05,,-0.0629043229669306,0.0195567803661137,-0.101234908138073,-0.0245737377957877,-3.21649687675205,0.00129765946054084,-6.29043229669306,-10.1234908138073,-2.45737377957877,-6.09666866873585,-9.6279283401446,-2.42742615995394,,,,,,
buyer_N_gaspaid_high,GRF,3631,0.497934453318645,0.05,overlap,-0.158669574846469,0.0446758959192779,-0.246234330848254,-0.0711048188446843,-3.55157007109962,0.000382940012809249,-15.8669574846469,-24.6234330848254,-7.11048188446843,-14.6721743007461,-21.826098210639,-6.86357375150055,"log_buyern_rolling_avg_value_last10:0.0642, log_sellern_1_rolling_avg_value_last10:0.0639, log_buyern_1_avg_gasLimit_cost:0.0599, log_buyern_1_total_value:0.0590, log_sellern_total_value:0.0571, log_sellern_1_avg_total_gaspaid:0.0569, log_price_1_sale:0.0568, log_sellern_1_total_value:0.0515",,,,-0.104454862841875,0.0274264309000106
buyer_N_gaspaid_high,PDS,3631,0.497934453318645,0.05,,-0.0555911349992066,0.0222752566684921,-0.0992498358158369,-0.0119324341825764,-2.49564509296268,0.0125728324976112,-5.55911349992066,-9.92498358158369,-1.19324341825764,-5.40741872061182,-9.44835506799081,-1.18615250097233,,,,,,
