treatment,covariate,type,n,cor,slope_catepct_per_unit,n0,n1,mean0,mean1,diff1minus0
seller_N_total_value_high,log_price_1_sale,numeric,7323,0.153148562760452,0.475813233416804,,,,,
seller_N_total_value_high,sold_after_30d,binary,7323,,,3568,3755,0.661195591404564,0.892769800377341,0.231574208972777
seller_N_total_value_high,log_buyern_total_value,numeric,7323,-0.193953287253299,-0.370519468814912,,,,,
seller_N_total_value_high,log_buyern_rolling_avg_value_last10,numeric,7323,-0.464279224824847,-1.6182310560063,,,,,
seller_N_total_value_high,log_sellern_rolling_avg_value_last10,numeric,7323,0.016308795143389,0.0692026960717249,,,,,
seller_N_total_value_high,log_buyern_1_total_value,numeric,7323,-0.415663619195899,-0.892193639903967,,,,,
seller_N_total_value_high,log_buyern_1_rolling_avg_value_last10,numeric,7323,-0.0559438547471574,-0.250485714764223,,,,,
seller_N_total_value_high,log_sellern_1_total_value,numeric,7323,-0.0942163458870791,-0.199029790666602,,,,,
seller_N_total_value_high,log_sellern_1_rolling_avg_value_last10,numeric,7323,-0.087710010960457,-0.414359644243497,,,,,
seller_N_total_value_high,log_unique_makers_count,numeric,7323,0.0656428510170831,0.527506358602393,,,,,
seller_N_total_value_high,log_median_offer_price,numeric,7323,0.0887652129792023,0.478964652798218,,,,,
seller_N_total_value_high,log_buyern_avg_total_gaspaid,numeric,7323,-0.072671115138925,-0.176930731123845,,,,,
seller_N_total_value_high,log_buyern_1_avg_total_gaspaid,numeric,7323,-0.469090871756824,-1.23000685014756,,,,,
seller_N_total_value_high,log_sellern_avg_total_gaspaid,numeric,7323,-0.507520238986684,-1.23439761281838,,,,,
seller_N_total_value_high,log_sellern_1_avg_total_gaspaid,numeric,7323,-0.0888945019756853,-0.200537429269642,,,,,
seller_N_total_value_high,log_buyern_avg_gasLimit_cost,numeric,7323,-0.0770382746168672,-33.5561995591249,,,,,
seller_N_total_value_high,log_buyern_1_avg_gasLimit_cost,numeric,7323,-0.345024537655827,-168.374710902551,,,,,
seller_N_total_value_high,log_sellern_avg_gasLimit_cost,numeric,7323,-0.420426012770959,-213.364137194293,,,,,
seller_N_total_value_high,log_sellern_1_avg_gasLimit_cost,numeric,7323,-0.105571392661753,-46.4715306255255,,,,,
seller_N_total_value_high,`time_n_sale_str_2021-06`,binary,7323,,,6815,508,0.764567246285655,0.986162769904846,0.221595523619191
seller_N_total_value_high,`time_n_sale_str_2021-07`,binary,7323,,,7015,308,0.754174595285037,1.36675871631124,0.612584121026202
seller_N_total_value_high,`time_n_sale_str_2021-08`,binary,7323,,,6935,388,0.798839216570197,0.442130164005377,-0.356709052564819
seller_N_total_value_high,`time_n_sale_str_2021-09`,binary,7323,,,7167,156,0.788707074586877,0.377133762719576,-0.411573311867301
seller_N_total_value_high,`time_n_sale_str_2021-10`,binary,7323,,,7195,128,0.774585764799653,1.08087416261641,0.306288397816762
seller_N_total_value_high,`time_n_sale_str_2021-11`,binary,7323,,,7093,230,0.796550573854038,0.26766630522481,-0.528884268629228
seller_N_total_value_high,`time_n_sale_str_2021-12`,binary,7323,,,7137,186,0.790136090885317,0.388683816666067,-0.401452274219251
seller_N_total_value_high,`time_n_sale_str_2022-01`,binary,7323,,,7026,297,0.797583467048827,0.362542192132455,-0.435041274916373
seller_N_total_value_high,`time_n_sale_str_2022-02`,binary,7323,,,7189,134,0.781626781967177,0.689414440196758,-0.0922123417704187
seller_N_total_value_high,`time_n_sale_str_2022-03`,binary,7323,,,7104,219,0.783365053915734,0.668817933931611,-0.114547119984124
seller_N_total_value_high,`time_n_sale_str_2022-04`,binary,7323,,,7140,183,0.790664981220248,0.361467238447151,-0.429197742773097
seller_N_total_value_high,`time_n_sale_str_2022-05`,binary,7323,,,7101,222,0.795733786201324,0.274733579877473,-0.52100020632385
seller_N_total_value_high,`time_n_sale_str_2022-06`,binary,7323,,,7171,152,0.789772328302287,0.316046738767754,-0.473725589534533
seller_N_total_value_high,`time_n_sale_str_2022-07`,binary,7323,,,7251,72,0.79387733633273,-0.623723544447607,-1.41760088078034
seller_N_total_value_high,`time_n_sale_str_2022-08`,binary,7323,,,7233,90,0.774891237073854,1.18564614214683,0.410754905072972
seller_N_total_value_high,`time_n_sale_str_2022-09`,binary,7323,,,7258,65,0.772628213355641,1.59632150789476,0.823693294539118
seller_N_total_value_high,`time_n_sale_str_2022-10`,binary,7323,,,7286,37,0.775857588640648,1.58373188412529,0.807874295484639
seller_N_total_value_high,`time_n_sale_str_2022-11`,binary,7323,,,7206,117,0.779762172035884,0.790856913314706,0.0110947412788224
seller_N_total_value_high,`time_n_sale_str_2022-12`,binary,7323,,,7246,77,0.780078530630351,0.766849838972463,-0.0132286916578875
seller_N_total_value_high,`time_n_sale_str_2023-01`,binary,7323,,,7218,105,0.787881241444013,0.233996855290577,-0.553884386153436
seller_N_total_value_high,`time_n_sale_str_2023-02`,binary,7323,,,7229,94,0.784246128656371,0.448736239271233,-0.335509889385138
seller_N_total_value_high,`time_n_sale_str_2023-03`,binary,7323,,,7222,101,0.784767264334595,0.434725619049082,-0.350041645285513
seller_N_total_value_high,`time_n_sale_str_2023-04`,binary,7323,,,7182,141,0.789567415214735,0.289526911178545,-0.50004050403619
seller_N_total_value_high,`time_n_sale_str_2023-05`,binary,7323,,,7259,64,0.785263331628026,0.176092910321253,-0.609170421306773
seller_N_total_value_high,`time_n_sale_str_2023-06`,binary,7323,,,7212,111,0.781912507592587,0.651742935050992,-0.130169572541595
seller_N_total_value_high,`time_n_sale_str_2023-07`,binary,7323,,,7187,136,0.789132852358792,0.294107798865884,-0.495025053492908
seller_N_total_value_high,`time_n_sale_str_2023-08`,binary,7323,,,7191,132,0.77439725929964,1.08186196155069,0.307464702251047
seller_N_total_value_high,`time_n_sale_str_2023-09`,binary,7323,,,7269,54,0.776556943533535,1.23526014820614,0.458703204672608
seller_N_total_value_high,`time_n_sale_str_2023-10`,binary,7323,,,7186,137,0.805034842988252,-0.536378913614473,-1.34141375660272
seller_N_total_value_high,`time_n_sale_str_2023-11`,binary,7323,,,7223,100,0.790451081852813,0.0206830632553379,-0.769768018597475
seller_N_total_value_high,`time_n_sale_str_2023-12`,binary,7323,,,7242,81,0.777915950071877,0.960853828739113,0.182937878667236
seller_N_total_value_high,`time_n_sale_str_2024-01`,binary,7323,,,7181,142,0.812007672180472,-0.841764953377257,-1.65377262555773
seller_N_total_value_high,`time_n_sale_str_2024-02`,binary,7323,,,7185,138,0.777432174688965,0.910480401508618,0.133048226819654
seller_N_total_value_high,`time_n_sale_str_2024-03`,binary,7323,,,7036,287,0.790583143562928,0.519001646131153,-0.271581497431775
seller_N_total_value_high,`time_n_sale_str_2024-04`,binary,7323,,,7136,187,0.771021349257476,1.12025733821953,0.349235988962049
seller_N_total_value_high,`time_n_sale_str_2024-05`,binary,7323,,,7235,88,0.77329118012161,1.32653161782443,0.553240437702816
seller_N_total_value_high,`time_n_sale_str_2024-06`,binary,7323,,,7205,118,0.781799102502566,0.666389296757689,-0.115409805744877
seller_N_total_value_high,`time_n_sale_str_2024-07`,binary,7323,,,7234,89,0.772772988429129,1.36243451968631,0.589661531257177
seller_N_total_value_high,`time_n_sale_str_2024-08`,binary,7323,,,7220,103,0.771308852927756,1.38491798456313,0.613609131635372
seller_N_total_value_high,`time_n_sale_str_2024-09`,binary,7323,,,7267,56,0.772550740559876,1.73875426606753,0.966203525507659
seller_N_total_value_high,`time_n_sale_str_2024-10`,binary,7323,,,7241,82,0.777332909035926,1.0101082465763,0.232775337540374
seller_N_total_value_high,`time_n_sale_str_2024-11`,binary,7323,,,7109,214,0.734200748176175,2.299361456841,1.56516070866482
seller_N_total_value_high,`time_n_sale_str_2024-12`,binary,7323,,,7092,231,0.766076061154827,1.20556296466826,0.439486903513436
seller_N_total_value_high,`time_n_sale_str_2025-01`,binary,7323,,,7184,139,0.76136208445434,1.74008097718287,0.978718892728525
seller_N_total_value_high,`time_n_sale_str_2025-02`,binary,7323,,,7168,155,0.761420528123626,1.63634919327904,0.874928665155409
seller_N_total_value_high,`time_n_sale_str_2025-03`,binary,7323,,,7269,54,0.775791967251326,1.33823445552797,0.56244248827664
seller_N_total_value_high,`time_n-1_sale_str_2021-06`,binary,7323,,,6479,844,0.72308328897661,1.21639791619543,0.493314627218823
